City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,tallulah,32.4085,-91.1868,26.0,83,0,0.0,US,1724677562
157,hamilton,39.1834,-84.5333,25.55,84,0,1.54,US,1724677764
158,klyuchi,52.2667,79.1667,16.4,66,86,4.45,RU,1724677766
159,partenit,44.578,34.3446,26.61,51,0,5.6,UA,1724677767
160,tughyl,47.7252,84.2063,19.2,47,0,0.85,KZ,1724677768
161,tofol,5.3248,163.0078,28.63,76,96,3.22,FM,1724677770
162,loukhi,66.0764,33.0381,21.11,41,1,5.37,RU,1724677771
163,visby,57.6409,18.296,22.24,52,0,11.32,SE,1724677773
164,afaahiti,-17.75,-149.2833,20.93,67,100,10.52,PF,1724677774
165,fada,9.5667,8.3,25.0,81,97,2.69,NG,1724677775
166,broken hill,-31.95,141.4333,14.58,48,0,3.0,AU,1724677777
167,harstad,68.799,16.5293,14.58,74,72,2.92,NO,1724677778
168,isangel,-19.55,169.2667,22.63,79,90,5.78,VU,1724677779
169,ciudad lazaro cardenas,17.9583,-102.2,25.51,90,97,1.77,MX,1724677781
170,petropavlovsk-kamchatsky,53.0452,158.6483,12.53,70,100,4.74,RU,1724677782
171,santa margherita ligure,44.3346,9.212,33.13,66,0,1.34,IT,1724677740
172,hammerfest,70.6634,23.6821,17.25,45,20,2.57,NO,1724677201
173,mbandaka,0.0487,18.2603,32.23,42,47,1.6,CD,1724677786
174,pingliang,35.5392,106.6861,19.8,62,100,2.04,CN,1724677787
175,hasaki,35.7333,140.8333,27.22,83,10,7.18,JP,1724677789
176,gasteiz / vitoria,42.85,-2.6667,24.05,59,40,5.14,ES,1724677754
177,ulanhot,46.0833,122.0833,17.87,82,0,0.79,CN,1724677740
178,holualoa,19.6228,-155.9522,22.7,97,70,2.72,US,1724677794
179,darwin,-12.4611,130.8418,24.99,77,0,2.06,AU,1724677225
180,hirara,24.8,125.2833,29.37,79,74,3.18,JP,1724677797
181,yuzhno-kurilsk,44.0306,145.8556,17.98,99,100,2.11,RU,1724677798
182,bonthe,7.5264,-12.505,27.24,78,67,4.61,SL,1724677799
183,palangkaraya,-2.2,113.8333,25.03,86,100,1.29,ID,1724677801
184,kavaratti,10.5669,72.642,26.96,86,25,6.42,IN,1724677802
185,el calafate,-50.3408,-72.2768,3.13,76,24,4.38,AR,1724677804
186,shchyolkino,45.4291,35.8223,27.94,48,0,10.02,UA,1724677805
187,bilaspur,22.0833,82.15,26.4,81,94,5.2,IN,1724677807
188,shanwei,22.782,115.3475,29.04,76,62,3.54,CN,1724677808
189,huarmey,-10.0681,-78.1522,17.96,87,100,3.86,PE,1724677810
190,baiona,43.4833,-1.4833,26.62,60,6,4.63,FR,1724677809
191,manado,1.487,124.8455,24.43,100,40,0.51,ID,1724677813
192,ha giang,22.8333,104.9833,24.96,97,80,0.56,VN,1724677814
193,kidal,18.4411,1.4078,44.28,11,14,6.13,ML,1724677632
194,wailua homesteads,22.0669,-159.378,25.44,78,100,9.26,US,1724677817
195,embrun,44.5639,6.4953,26.81,28,7,3.84,FR,1724677818
196,phan rang-thap cham,11.5667,108.9833,25.27,92,100,1.76,VN,1724677819
197,luderitz,-26.6481,15.1594,19.02,46,0,7.88,NA,1724677821
198,bengkulu,-3.8004,102.2655,26.18,85,52,3.4,ID,1724677822
199,nioki,-2.7167,17.6833,38.71,20,100,1.81,CD,1724677824
200,nizhnyaya poyma,56.1622,97.1933,15.42,69,86,2.83,RU,1724677825
201,ha'il,27.5219,41.6907,42.01,10,40,4.12,SA,1724677826
202,la maddalena,41.2142,9.4083,33.03,64,0,9.55,IT,1724677730
203,jogeva,58.7467,26.3939,21.05,40,36,3.54,EE,1724677829
204,dzilam gonzalez,21.2833,-88.9333,26.54,81,68,1.53,MX,1724677832
205,lompoc,34.6391,-120.4579,12.3,100,75,2.57,US,1724677719
206,howard springs,-12.497,131.047,24.95,83,72,2.18,AU,1724677835
207,castillos,-34.1667,-53.8333,12.78,61,3,3.16,UY,1724677836
208,kuvandyk,51.4781,57.3552,20.98,64,100,5.66,RU,1724677838
209,fendou,46.65,124.8667,17.4,84,0,2.94,CN,1724677839
210,qaqortoq,60.7167,-46.0333,7.16,72,8,2.36,GL,1724677841
211,rabigh,22.7986,39.0349,34.63,56,0,5.0,SA,1724677842
212,yumbe,3.4651,31.2469,27.34,56,14,2.07,UG,1724677843
213,laojunmiao,39.8333,97.7333,22.45,42,90,9.58,CN,1724677845
214,santa elena de uairen,4.6167,-61.1333,25.86,53,10,1.02,VE,1724677846
215,tsumeb,-19.2333,17.7167,29.96,9,22,2.41,NA,1724677632
216,nuuk,64.1835,-51.7216,5.34,81,75,1.03,GL,1724677849
217,coquimbo,-29.9533,-71.3436,10.85,87,20,3.09,CL,1724677850
218,prieska,-29.6641,22.7474,25.72,10,5,9.52,ZA,1724677852
219,heroica caborca,30.7167,-112.15,28.58,45,0,1.87,MX,1724677853
